run,epoch,phase,p95_latency_ms
full_view_run2,88,run,2.103
full_view_run2,89,run,1.183
full_view_run2,90,run,2.028
full_view_run2,91,run,0.851
full_view_run2,92,run,0.862
full_view_run2,93,run,0.918
full_view_run2,94,run,0.829
full_view_run2,95,run,0.976
full_view_run2,96,run,0.88
full_view_run2,97,run,1.281
full_view_run2,98,run,2.347
full_view_run2,99,run,2.495
full_view_run2,100,run,2.157
full_view_run2,1,reference,0.058
full_view_run2,2,reference,0.06
full_view_run2,3,reference,0.057
full_view_run2,4,reference,0.057
full_view_run2,5,reference,0.056
full_view_run2,6,reference,0.058
full_view_run2,7,reference,0.058
full_view_run2,8,reference,0.057
full_view_run2,9,reference,0.057
full_view_run2,10,reference,0.058
full_view_run2,11,reference,0.058
full_view_run2,12,reference,0.057
full_view_run2,13,reference,0.057
full_view_run2,14,reference,0.057
full_view_run2,15,reference,0.058
full_view_run2,16,reference,0.057
full_view_run2,17,reference,0.057
full_view_run2,18,reference,0.056
full_view_run2,19,reference,0.058
full_view_run2,20,reference,0.058
full_view_run2,21,reference,0.058
full_view_run2,22,reference,0.058
full_view_run2,23,reference,0.06
full_view_run2,24,reference,0.059
full_view_run2,25,reference,0.058
full_view_run2,26,reference,0.06
full_view_run2,27,reference,0.059
full_view_run2,28,reference,0.059
full_view_run2,29,reference,0.059
full_view_run2,30,reference,0.058
full_view_run2,31,reference,0.06
full_view_run2,32,reference,0.059
full_view_run2,33,reference,0.061
full_view_run2,34,reference,0.06
full_view_run2,35,reference,0.06
full_view_run2,36,reference,0.058
full_view_run2,37,reference,0.058
full_view_run2,38,reference,0.06
full_view_run2,39,reference,0.06
full_view_run2,40,reference,0.06
full_view_run2,41,reference,0.059
full_view_run2,42,reference,0.057
full_view_run2,43,reference,0.06
full_view_run2,44,reference,0.059
full_view_run2,45,reference,0.059
full_view_run2,46,reference,0.057
full_view_run2,47,reference,0.058
full_view_run2,48,reference,0.059
full_view_run2,49,reference,0.058
full_view_run2,50,reference,0.06
full_view_run2,51,reference,0.06
full_view_run2,52,reference,0.058
full_view_run2,53,reference,0.058
full_view_run2,54,reference,0.058
full_view_run2,55,reference,0.059
full_view_run2,56,reference,0.059
full_view_run2,57,reference,0.06
full_view_run2,58,reference,0.059
full_view_run2,59,reference,0.058
full_view_run2,60,reference,0.057
full_view_run2,61,reference,0.059
full_view_run2,62,reference,0.059
full_view_run2,63,reference,0.059
full_view_run2,64,reference,0.057
full_view_run2,65,reference,0.059
full_view_run2,66,reference,0.058
full_view_run2,67,reference,0.059
full_view_run2,68,reference,0.058
full_view_run2,69,reference,0.058
full_view_run2,70,reference,0.058
full_view_run2,71,reference,0.058
full_view_run2,72,reference,0.058
full_view_run2,73,reference,0.058
full_view_run2,74,reference,0.058
full_view_run2,75,reference,0.059
full_view_run2,76,reference,0.059
full_view_run2,77,reference,0.06
full_view_run2,78,reference,0.06
full_view_run2,79,reference,0.061
full_view_run2,80,reference,0.059
full_view_run2,81,reference,0.06
full_view_run2,82,reference,0.06
full_view_run2,83,reference,0.06
full_view_run2,84,reference,0.06
full_view_run2,85,reference,0.061
full_view_run2,86,reference,0.059
full_view_run2,87,reference,0.058
full_view_run2,88,reference,0.06
full_view_run2,89,reference,0.061
full_view_run2,90,reference,0.059
full_view_run2,91,reference,0.058
full_view_run2,92,reference,0.06
full_view_run2,93,reference,0.059
full_view_run2,94,reference,0.06
full_view_run2,95,reference,0.059
full_view_run2,96,reference,0.06
full_view_run2,97,reference,0.059
full_view_run2,98,reference,0.059
full_view_run2,99,reference,0.061
full_view_run2,100,reference,0.059
