Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
55,reference,READ,64775,16637172,7099214,5574764,10119,1,0,0,0,681,43849,512874784,563002723,6512538844,11871115952,1142543552,169854030,23526638854604,27716602103,3665963062,80070818,4310,23201.85614849188,100000,37.88334,27,13207,50,98,4,29.5,43.675,51.35,54.775,56.2,62128.0,62140.0,62144.0,62144.0,62144.0
56,reference,READ,66514,16939043,7236478,5676237,10119,1,0,0,0,681,43895,516867691,563053863,6516078323,11873549406,1143537821,169920480,23551478677185,27748752572,3670852051,80085804,4307,23218.017181332714,100000,37.88754,26,15015,51,88,4,29.5,44.275000000000006,52.400000000000006,56.2,58.0,62476.0,62494.0,62500.0,62500.0,62500.0
57,reference,READ,68255,17240912,7373742,5777710,10119,1,0,0,0,681,43942,521763747,563161787,6519393462,11876046599,1144412361,169954334,23577034839203,27781635469,3675888719,80102104,4372,22872.827081427266,100000,38.64807,26,14871,54,92,4,28.4,42.425,50.1,53.875,56.2,62496.0,62544.0,62560.0,62560.0,62560.0
58,reference,READ,69996,17542781,7511006,5879183,10119,1,0,0,0,681,43989,526188025,563244912,6522589496,11878399263,1145332350,169987070,23602766280743,27814694469,3680945700,80134697,4504,22202.486678508,100000,39.6979,23,14991,55,89,4,27.2,43.475,50.75,53.5,56.2,61664.0,61724.0,61744.0,61744.0,61744.0
59,reference,READ,71737,17844650,7648270,5980656,10119,1,0,0,0,681,44038,530841565,563345002,6526000090,11881009367,1146374767,170034854,23629367727304,27848754531,3686179209,80150617,4623,21630.975556997622,100000,41.38799,26,12647,53,90,4,32.5,44.425,50.85,53.775,55.2,61720.0,61738.0,61744.0,61744.0,61744.0
60,reference,READ,73494,18146576,7786424,6082143,10119,1,0,0,0,681,44088,535796250,563407871,6529507028,11883678132,1147422771,170072753,23656425817995,27883547688,3691491402,80188698,4335,23068.05074971165,100000,38.17276,27,14423,50,89,4,29.5,44.875,52.05,54.575,56.0,61068.0,61068.0,61068.0,61068.0,61068.0
61,reference,READ,75237,18448589,7925468,6183644,10119,1,0,0,0,681,44139,540669782,563489707,6533137256,11886388186,1148469651,170130007,23684012169468,27918998502,3696902398,80206041,4227,23657.44026496333,100000,37.05318,27,15871,49,89,4,27.2,42.725,51.25,55.325,57.5,61232.0,61256.0,61264.0,61264.0,61264.0
62,reference,READ,76994,18750442,8062732,6285117,10119,1,0,0,0,681,44190,545485526,563568847,6536746389,11889104467,1149475015,170177835,23711693728791,27954474360,3702315519,80223999,4471,22366.360993066428,100000,39.37364,26,16527,51,87,4,26.9,42.275,50.5,53.95,55.0,60312.0,60324.0,60328.0,60328.0,60328.0
63,reference,READ,78751,19052441,8201776,6386618,10119,1,0,0,0,681,44243,550610596,563646248,6540568480,11891901846,1150585625,170234961,23740339703761,27991160552,3707924404,80238378,4511,22168.033695411217,100000,40.06236,26,13159,55,93,4,29.2,43.45,50.6,53.875,56.5,60832.0,60898.0,60920.0,60920.0,60920.0
64,reference,READ,80508,19354440,8340820,6488119,10119,1,0,0,0,681,44296,555355833,563709003,6544408536,11894696088,1151644159,170301992,23769057447268,28027814799,3713533718,80276102,4228,23651.844843897823,100000,37.1961,24,31983,51,103,4,29.5,44.650000000000006,52.25,55.7,58.4,61772.0,61784.0,61788.0,61788.0,61788.0
