cache_profile,run,phase,window,n,p95_us_mean,p99_us_mean,avg_us_mean,throughput_mean,blks_read_per_op_mean,blks_hit_per_op_mean,delta_cache_hit_ratio_mean,cum_cache_hit_ratio_mean,wal_bytes_per_op_mean,buffers_alloc_per_op_mean,checkpoint_write_time_per_op_mean,tup_inserted_per_op_mean,tup_updated_per_op_mean,tup_fetched_per_op_mean,tup_returned_per_op_mean,first_epoch_p95_gt_1000us,first_epoch_p95_gt_2000us
big_4GB,5,run,mid_45_55,11,428.6363636363636,1138.909090909091,289.6390163636364,3415.59630351801,49.42084545454546,433.56536272727277,0.8978141533258316,0.9332329498106167,220305.1734918182,21.208646363636365,7.707238181818183,71.5592590909091,1.0010400000000004,182.95794818181818,183.70883181818184,70.0,97.0
big_4GB,5,run,late_91_100,10,1561.9,5492.9,642.088487,1586.1687176526352,117.73666699999998,727.589248,0.8607804401089256,0.8927108495580836,444758.170395,41.628883,16.020852,135.654328,1.0020349999999998,338.96431700000005,339.86191299999996,70.0,97.0
big_4GB,5,run,all_1_100,100,606.9,1938.22,320.8304203,4633.1609447620485,53.203167676767684,429.9958163636364,0.9124048501979656,0.9419033640322501,230358.17417080805,21.112477171717174,8.279830606060607,72.88484494949495,1.0011411111111113,185.63032444444448,186.41539191919185,70.0,97.0
big_4GB,6,avg-run,early_1_10,10,141.7,329.3,76.20738600000001,13115.225306125629,-0.00013777777777777776,6.997170000000001,1.0000630737633989,0.9998938775302386,24567.68687666667,0.4186366666666667,1.344246666666667,0.1791,0.0,2.175377777777778,2.1753777777777783,,
big_4GB,6,avg-run,mid_45_55,11,488.90909090909093,587.6363636363636,346.81186272727274,2837.17187516164,0.0,0.43515818181818183,1.0,0.9999960014675655,221233.82714090912,21.086430909090907,8.292085454545456,0.04956636363636364,0.0,0.5063263636363636,0.5071936363636363,,
big_4GB,6,avg-run,late_91_100,10,722.0,838.7,593.6376110000001,1665.512313822853,0.0,0.698893,1.0,0.999996704766796,446233.79016800004,41.388981,17.564534000000002,0.15303799999999998,0.0,2.161237,2.161237,,
big_4GB,6,avg-run,all_1_100,100,490.82,604.24,339.3251464,4229.315822374925,-3.878787878787882e-05,1.5963864646464647,1.0003279743253952,0.9999832804684066,230102.39489323233,21.022211717171718,8.851954545454547,0.11723373737373735,2.2222222222222217e-06,1.4358362626262624,1.4361012121212122,,
big_4GB,6,clean-run,early_1_10,10,202.1,433.5,83.324312,12302.278233503715,-0.00013777777777777776,2.8727622222222227,1.0001184546841158,0.999719366725623,24454.670871111113,0.40537777777777784,1.344246666666667,0.0902111111111111,0.0,0.9272222222222221,0.9272222222222221,,
big_4GB,6,clean-run,mid_45_55,11,628.1818181818181,982.0,349.9981245454545,2828.7348825595736,0.0,0.1654772727272727,1.0,0.9999910547431327,221132.37595909092,21.07885272727273,8.28381909090909,0.04955363636363636,0.0,0.407000909090909,0.4070709090909091,,
big_4GB,6,clean-run,late_91_100,10,877.8,1617.9,594.1022449999999,1662.6743108052021,0.0,0.33490299999999995,1.0,0.9999927808584124,446117.56070499995,41.363703,17.545988,0.053037999999999995,0.0,0.855128,0.855128,,
