Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
53,extend,26500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1941,257.5991756826378,500,2970.11,1455,22559,4547,5207,500
53,spread-run,27000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16102,3105.204322444417,50000,307.885,156,22431,498,886,50000
54,extend,27000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1940,257.7319587628866,500,2960.884,1512,23167,4551,5235,500
54,spread-run,27500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16162,3093.676525182527,50000,309.14236,157,22175,540,894,50000
55,extend,27500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1938,257.99793601651186,500,2970.342,1594,24271,4655,5195,500
55,spread-run,28000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16071,3111.194076286479,50000,307.3504,146,22239,508,874,50000
56,extend,28000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1942,257.46652935118436,500,2973.08,1499,22655,4651,5211,500
56,spread-run,28500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15568,3211.7163412127443,50000,297.17626,135,21679,524,891,50000
57,extend,28500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1951,256.278831368529,500,2961.194,1471,24895,4687,5175,500
57,spread-run,29000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16117,3102.31432648756,50000,308.08336,154,21727,513,858,50000
