Epoch,Phase,Operation,metric,source
24,extend,EXTEND,10273442570.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
25,extend,EXTEND,10740747168.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
26,extend,EXTEND,11242622396.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
27,extend,EXTEND,11509334316.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
28,extend,EXTEND,12003639450.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
29,extend,EXTEND,12459042104.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
30,extend,EXTEND,13102986597.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
31,extend,EXTEND,13219457484.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
32,extend,EXTEND,14022210252.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
33,extend,EXTEND,13951529593.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
34,extend,EXTEND,14936586605.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
35,extend,EXTEND,15257726936.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
36,extend,EXTEND,15753495099.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
37,extend,EXTEND,15970649533.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
38,extend,EXTEND,16494601621.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
39,extend,EXTEND,16851160979.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
40,extend,EXTEND,17315504035.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
41,extend,EXTEND,17709487890.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
42,extend,EXTEND,18410941340.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
43,extend,EXTEND,18918634045.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
44,extend,EXTEND,19368111311.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
45,extend,EXTEND,19702953187.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
46,extend,EXTEND,20249910867.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
