run_id,Epoch,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
5,68,46300.0,76410.00000000003,102919.99999999971,229631.00000000067,26049600,1.0,1.0,1.0,52.0,116.0,13051.0
5,69,47000.0,77510.00000000003,104024.99999999964,234120.00000000044,26441500,1.0,1.0,1.0,53.0,118.0,13248.0
5,70,47600.0,78700.0,105424.99999999964,237125.00000000055,26825100,1.0,1.0,1.0,53.0,119.0,13440.0
5,71,48300.0,79710.00000000003,106919.99999999971,239235.00000000076,27199100,1.0,1.0,1.0,54.0,120.0,13627.0
5,72,48900.0,80800.0,109004.99999999993,242937.00000000081,27582700,1.0,1.0,1.0,55.0,122.0,13819.0
5,73,49600.0,82010.00000000003,110104.99999999993,246626.00000000058,27967600,1.0,1.0,1.0,56.0,124.0,14012.0
5,74,50200.0,83100.0,111604.99999999993,249141.0000000009,28347900,1.0,1.0,1.0,56.0,125.0,14203.0
5,75,50900.0,84210.00000000003,113204.99999999993,252143.00000000093,28733800,1.0,1.0,1.0,57.0,127.0,14396.0
5,76,51500.0,85310.00000000003,114614.99999999978,255541.0000000009,29105500,1.0,1.0,1.0,58.0,129.0,14582.0
5,77,52200.0,86400.0,116109.99999999985,258651.0000000011,29487300,1.0,1.0,1.0,59.0,130.0,14774.0
5,78,52900.0,87510.00000000003,117900.0,262141.0000000009,29874100,1.0,1.0,1.0,60.0,132.0,14967.0
5,79,53600.0,88700.0,119109.99999999985,265447.00000000105,30249700,1.0,1.0,1.0,60.0,133.0,15156.0
5,80,54200.0,89910.00000000003,120809.99999999985,268644.00000000093,30634600,1.0,1.0,1.0,61.0,135.0,15348.0
5,81,54900.0,91000.0,122014.99999999978,272236.0000000008,31020300,1.0,1.0,1.0,62.0,137.0,15542.0
5,82,55600.0,92200.0,123600.0,275232.0000000007,31403000,1.0,1.0,1.0,62.0,138.0,15733.0
5,83,56300.0,93300.0,124614.99999999978,278031.0000000007,31783400,1.0,1.0,1.0,63.0,140.0,15924.0
5,84,57000.0,94400.0,126214.99999999978,282711.00000000023,32163600,1.0,1.0,1.0,64.0,142.0,16115.0
5,85,57600.0,95500.0,127904.99999999993,286408.0000000002,32549400,1.0,1.0,1.0,65.0,144.0,16308.0
5,86,58300.0,96500.0,129104.99999999993,289412.00000000023,32929400,1.0,1.0,1.0,65.0,145.0,16498.0
5,87,58900.0,97700.0,130724.99999999964,293213.0000000003,33309600,1.0,1.0,1.0,66.0,147.0,16689.0
5,88,59600.0,98700.0,132324.99999999965,297510.00000000023,33697800,1.0,1.0,1.0,67.0,150.0,16883.0
5,89,60200.0,99900.0,133639.99999999942,300807.0000000002,34074700,1.0,1.0,1.0,67.0,151.0,17072.0
5,90,60900.0,101000.0,134664.99999999907,303807.0000000002,34469500,1.0,1.0,1.0,68.0,153.0,17270.0
5,91,61500.0,102000.0,136464.99999999907,307011.00000000023,34842700,1.0,1.0,1.0,69.0,154.0,17457.0
5,92,62200.0,103100.0,138129.99999999956,310110.00000000023,35221200,1.0,1.0,1.0,70.0,156.0,17646.0
5,93,62850.0,104100.0,139049.99999999927,313805.0000000001,35606200,1.0,1.0,1.0,70.0,158.0,17839.0
5,94,63500.0,105210.00000000003,140374.9999999989,317205.0000000001,35985200,1.0,1.0,1.0,71.0,159.0,18029.0
5,95,64200.0,106400.0,142064.99999999907,320509.0000000002,36366400,1.0,1.0,1.0,72.0,161.0,18220.0
5,96,64900.0,107500.0,143569.99999999898,322916.00000000035,36751900,1.0,1.0,1.0,72.0,162.0,18413.0
5,97,65500.0,108700.0,145719.9999999997,327107.0000000002,37132200,1.0,1.0,1.0,74.0,164.0,18604.0
5,98,66100.0,109710.00000000003,147400.0,329831.0000000007,37512000,1.0,1.0,1.0,74.0,166.0,18794.0
5,99,66800.0,110900.0,148814.99999999977,333134.00000000076,37885800,1.0,1.0,1.0,75.0,167.0,18981.0
5,100,67500.0,112000.0,150109.99999999985,336841.0000000009,38256800,1.0,1.0,1.0,76.0,169.0,19167.0
6,1,1700.0,2300.0,2600.0,4500.0,390000,0.1899,0.0058,0.0019,2.0,3.0,196.0
6,2,2400.0,3400.0,4100.0,7701.000000000022,774800,0.7778,0.0091,0.0034,3.0,4.0,389.0
6,3,3100.0,4500.0,5600.0,10801.000000000022,1155800,0.979,0.0225,0.005,3.0,6.0,580.0
6,4,3800.0,5600.0,7100.0,14400.0,1530100,0.9995,0.0372,0.0056,4.0,8.0,767.0
6,5,4500.0,6700.0,8600.0,17600.0,1922900,1.0,0.0586,0.0059,5.0,9.0,964.0
6,6,5100.0,7800.0,10100.0,21100.0,2304000,1.0,0.0926,0.0065,6.0,11.0,1155.0
6,7,5800.0,9000.0,11600.0,24501.000000000022,2677300,1.0,0.1486,0.0073,6.0,13.0,1342.0
6,8,6500.0,10100.0,13100.0,27901.000000000022,3047600,1.0,0.2325,0.0082,7.0,14.0,1527.0
6,9,7100.0,11200.0,14600.0,31104.000000000087,3436300,1.0,0.3374,0.0095,8.0,16.0,1722.0
6,10,7800.0,12300.0,16000.0,34602.000000000044,3816600,1.0,0.4543,0.0116,9.0,18.0,1913.0
6,11,8500.0,13400.0,17600.0,38002.000000000044,4192000,1.0,0.5917,0.0146,9.0,20.0,2101.0
6,12,9200.0,14500.0,19100.0,41400.0,4573400,1.0,0.735,0.0172,10.0,21.0,2292.0
6,13,9800.0,15600.0,20600.0,45002.000000000044,4954800,1.0,0.8587,0.0209,11.0,23.0,2483.0
6,14,10500.0,16700.0,22200.0,48303.000000000065,5326200,1.0,0.9391,0.026,12.0,25.0,2669.0
6,15,11200.0,17800.0,23600.0,51104.00000000009,5707900,1.0,0.9804,0.0295,12.0,26.0,2860.0
6,16,11800.0,18900.0,25100.0,54506.00000000013,6085100,1.0,0.9963,0.0325,13.0,28.0,3049.0
6,17,12500.0,20100.0,26600.0,58206.00000000013,6465400,1.0,0.999,0.0349,14.0,30.0,3240.0
6,18,13200.0,21200.0,28100.0,61702.000000000044,6842500,1.0,1.0,0.0376,15.0,31.0,3429.0
