run_id,Epoch,AverageLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Throughput(ops/sec),blks_read_per_op_delta,blks_hit_per_op_delta,tup_returned_per_op_delta,tup_fetched_per_op_delta,tup_inserted_per_op_delta,tup_updated_per_op_delta,tup_deleted_per_op_delta,temp_bytes_per_op_delta,buffers_alloc_per_op_delta,wal_bytes_per_op_delta,wal_records_per_op_delta,wal_fpi_per_op_delta,reference_p95_us,avg-run_p95_us,clean-run_p95_us,main_minus_clean_p95_us,main_minus_avg_p95_us,main_minus_reference_p95_us,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
3,97,863.12627,2055,6395,1148.870660141081,83.33728,122.68044,62.75455,62.42819,6e-05,0.00033,6e-05,411.12069,2.59417,16676.29398,101.68246,62.93148,54,730,901,1154,1325,2001,,,,,,,,,,,
3,98,958.25535,2719,7743,1035.9473738734073,83.56253,126.86884,63.43266,63.11048,4e-05,0.00022,4e-05,415.29318,2.61839,16701.92632,99.72039,65.51473,49,712,935,1784,2007,2670,,,,,,,,,,,
3,99,823.34592,1476,6979,1205.1241880475784,77.59669,168.84966,65.09775,64.75804,6e-05,0.00033,6e-05,419.60886,2.37266,17852.88245,108.31289,67.02386,53,733,904,572,743,1423,,,,,,,,,,,
3,100,766.24424,1150,5975,1294.0460939218656,95.23263,141.7291,65.30182,64.96052,4e-05,0.00022,4e-05,423.82242,2.29317,17384.97607,106.56508,68.93379,51,738,948,202,412,1099,,,,,,,,,,,
4,1,50.06275,70,141,18145.52712756305,0.0,5.64935,2.0077,1.80324,0.00111,0.00011,0.00101,0.0,0.0,26.35894,0.40167,0.0,48,62,65,5,8,22,1700.0,2300.0,2700.0,4500.0,390000.0,0.1896,0.0057,0.0019,2.0,3.0,196.0
4,2,56.84807,85,175,16217.96951021732,0.0,13.78176,3.95376,3.7493,0.00144,0.00011,0.00142,0.0,0.0,17.0592,0.23805,2e-05,55,72,74,11,13,30,2400.0,3400.0,4200.0,7800.0,774300.0,0.775,0.0095,0.0032,3.0,4.0,388.0
4,3,67.06268,96,205,13861.93512614361,0.0,23.64419,6.07788,5.86465,0.00364,0.00022,0.00344,0.0,0.00086,135.21108,1.87727,0.0332,51,81,82,14,15,45,3100.0,4500.0,5700.0,11002.000000000044,1152900.0,0.9807,0.0232,0.005,3.0,6.0,578.0
4,4,77.75942,109,236,12140.342357654486,0.0,26.55666,7.14236,6.9379,0.00216,0.00011,0.00212,0.0,6e-05,72.87325,1.13537,0.00102,53,86,92,17,23,56,3800.0,5600.0,7100.0,14701.000000000022,1536100.0,0.999,0.0375,0.0055,4.0,8.0,770.0
4,5,81.49989,114,249,11564.704521799467,0.0,32.14099,8.47789,8.26466,0.0025,0.00011,0.0024,0.0,0.0,361.76808,2.2453,0.42329,53,97,96,18,17,61,4400.0,6800.0,8600.0,18100.0,1916600.0,1.0,0.0584,0.0059,5.0,10.0,961.0
4,6,86.83769,122,270,10932.546190007652,0.0,34.10206,9.1124,8.89918,0.00272,0.00011,0.0027,0.0,3e-05,483.19708,2.22994,0.52914,54,96,114,8,26,68,5100.0,7900.0,10000.0,21204.000000000087,2294800.0,1.0,0.0933,0.0068,6.0,11.0,1150.0
4,7,92.53863,128,277,10246.951531919254,0.0,36.76857,9.72864,9.51542,0.00302,0.00011,0.00292,0.0,0.00075,624.64492,2.67383,0.73292,54,111,122,6,17,74,5800.0,9000.0,11600.0,24903.000000000065,2688400.0,1.0,0.1499,0.0075,6.0,13.0,1347.0
4,8,101.04404,144,328,9417.969485778864,0.0,41.39394,10.92464,10.71141,0.00644,0.00022,0.00634,0.0,6e-05,497.7559,3.45188,0.5768,52,115,128,16,29,92,6500.0,10010.000000000036,13000.0,28501.000000000022,3069200.0,1.0,0.2305,0.0081,7.0,15.0,1538.0
4,9,104.70185,151,321,9118.26388255676,0.0,43.93815,11.35794,11.14471,0.00676,0.00022,0.00669,0.0,0.00085,672.45706,4.17043,0.89064,52,122,134,17,29,99,7200.0,11200.0,14500.0,31905.00000000011,3446300.0,1.0,0.3322,0.01,8.0,16.0,1727.0
4,10,112.33622,163,313,8530.239699735563,0.0,47.43092,11.65784,11.44461,0.00704,0.00022,0.00698,0.0,0.00087,1317.1937,5.52925,1.73281,54,121,134,29,42,109,7800.0,12210.000000000036,15904.999999999927,35504.00000000009,3823700.0,1.0,0.4517,0.0117,8.0,18.0,1916.0
