run_name,epoch,timestamp_unix_ms,relation,phase,heap_blks_total,heap_blks_scanned,heap_blks_vacuumed,index_vacuum_count,max_dead_tuples,num_dead_tuples
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550475448,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,240135,1,11184809,2106911
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550476485,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,275288,1,11184809,2106911
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,22,1777550477522,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,570419,1,11184809,2106911
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550902025,pg_toast.pg_toast_862726372,scanning heap,589821,289011,0,0,11184809,707087
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550903062,pg_toast.pg_toast_862726372,scanning heap,589821,13369,0,0,11184809,49505
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550904105,pg_toast.pg_toast_862726372,scanning heap,589821,343128,0,0,11184809,1301460
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550905148,pg_toast.pg_toast_862726372,vacuuming indexes,589821,589821,0,0,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550906185,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,21950,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550907222,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,56202,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550908265,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,92020,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550909302,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,168530,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550910339,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,179928,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550911376,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,255704,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550912413,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,276548,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550913451,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,292521,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550914488,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,390857,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,23,1777550915526,pg_toast.pg_toast_862726372,vacuuming heap,589821,589821,559464,1,11184809,2179585
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551351344,usertable,scanning heap,5775,25,0,0,1680525,25
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551351344,pg_toast.pg_toast_862726372,scanning heap,605565,155230,0,0,11184809,551943
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551352384,pg_toast.pg_toast_862726372,scanning heap,668761,11248,0,0,11184809,41638
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551352384,pg_toast.pg_toast_2619,scanning heap,221,94,0,0,64311,365
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551353425,pg_toast.pg_toast_862726372,scanning heap,668761,221923,0,0,11184809,831684
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551354465,pg_toast.pg_toast_862726372,scanning heap,668761,249150,0,0,11184809,936956
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551355502,pg_toast.pg_toast_862726372,scanning heap,668761,251285,0,0,11184809,945183
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551356540,pg_toast.pg_toast_862726372,scanning heap,668761,253386,0,0,11184809,953278
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551357577,pg_toast.pg_toast_862726372,scanning heap,668761,283152,0,0,11184809,1068264
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551358614,pg_toast.pg_toast_862726372,scanning heap,668761,316222,0,0,11184809,1196885
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551359651,pg_toast.pg_toast_862726372,scanning heap,668761,349843,0,0,11184809,1327531
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551360688,pg_toast.pg_toast_862726372,scanning heap,668761,365989,0,0,11184809,1390275
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551361725,pg_toast.pg_toast_862726372,scanning heap,668761,367370,0,0,11184809,1395657
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551362763,pg_toast.pg_toast_862726372,scanning heap,668761,369189,0,0,11184809,1402675
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551363801,pg_toast.pg_toast_862726372,scanning heap,668761,370884,0,0,11184809,1409269
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551364838,pg_toast.pg_toast_862726372,scanning heap,668761,372624,0,0,11184809,1416033
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551365876,pg_toast.pg_toast_862726372,scanning heap,668761,374411,0,0,11184809,1422945
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551366913,pg_toast.pg_toast_862726372,scanning heap,668761,376161,0,0,11184809,1429697
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551367950,pg_toast.pg_toast_862726372,scanning heap,668761,378329,0,0,11184809,1438104
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551368987,pg_toast.pg_toast_862726372,scanning heap,668761,553792,0,0,11184809,2115460
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551370024,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,26470,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551371062,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,71417,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551372099,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,161703,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551373137,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,174041,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551374174,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,184363,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551375210,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,189209,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551376247,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,212506,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551377284,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,244223,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551378324,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,267361,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551379362,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,276804,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551380400,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,304906,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551381437,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,340810,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551382474,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,353339,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551383515,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,367426,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551384552,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,383801,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,24,1777551385589,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,555635,1,11184809,2539652
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,25,1777551813039,pg_toast.pg_toast_862726372,vacuuming heap,668761,668761,130526,1,11184809,795937
